deger1,deger2,sonuc
60,20,1200
66,62,4092
86,1,86
99,25,2475
70,75,5250
57,23,1311
44,55,2420
9,94,846
84,59,4956
32,17,544
40,13,520
93,84,7812
56,25,1400
11,25,275
26,66,1716
59,63,3717
22,10,220
10,37,370
97,30,2910
3,73,219
41,90,3690
90,53,4770
36,71,2556
22,12,264
35,14,490
36,4,144
11,43,473
77,75,5775
95,95,9025
11,60,660
71,13,923
77,85,6545
55,8,440
16,74,1184
93,79,7347
71,81,5751
37,38,1406
20,89,1780
45,14,630
20,3,60
39,62,2418
50,46,2300
80,6,480
49,34,1666
26,5,130
17,92,1564
2,41,82
10,55,550
89,41,3649
58,34,1972
67,1,67
3,42,126
84,79,6636
19,86,1634
3,30,90
28,44,1232
68,35,2380
79,19,1501
20,22,440
81,25,2025
32,40,1280
47,24,1128
100,32,3200
45,1,45
73,17,1241
52,22,1144
52,83,4316
48,31,1488
35,62,2170
57,56,3192
10,99,990
66,98,6468
8,6,48
87,6,522
34,39,1326
86,40,3440
78,69,5382
57,49,2793
65,4,260
70,61,4270
99,34,3366
49,52,2548
18,33,594
15,97,1455
21,3,63
5,35,175
9,55,495
94,22,2068
70,84,5880
84,61,5124
10,60,600
20,46,920
68,27,1836
34,46,1564
80,58,4640
84,55,4620
73,89,6497
28,27,756
92,54,4968
31,22,682
52,83,4316
33,30,990
30,20,600
58,8,464
94,13,1222
82,30,2460
89,96,8544
41,81,3321
87,89,7743
87,52,4524
26,59,1534
92,85,7820
80,60,4800
77,16,1232
39,50,1950
75,69,5175
97,89,8633
27,84,2268
42,64,2688
62,20,1240
67,33,2211
57,91,5187
40,54,2160
46,23,1058
3,99,297
79,53,4187
45,98,4410
54,75,4050
57,93,5301
27,82,2214
36,62,2232
37,64,2368
32,35,1120
97,46,4462
41,38,1558
51,21,1071
62,44,2728
67,13,871
93,89,8277
97,25,2425
76,59,4484
70,56,3920
54,9,486
43,36,1548
2,10,20
5,31,155
69,30,2070
93,30,2790
70,31,2170
46,84,3864
37,5,185
9,60,540
55,29,1595
62,26,1612
48,80,3840
7,16,112
90,40,3600
58,15,870
38,17,646
58,7,406
81,97,7857
17,50,850
15,66,990
28,65,1820
82,70,5740
84,55,4620
60,18,1080
15,18,270
94,95,8930
70,13,910
99,74,7326
40,25,1000
56,96,5376
82,25,2050
85,27,2295
61,8,488
87,52,4524
38,20,760
5,43,215
94,81,7614
77,70,5390
72,28,2016
91,84,7644
78,81,6318
81,9,729
39,24,936
42,33,1386
71,3,213
69,19,1311
60,76,4560
19,49,931
45,77,3465
8,33,264
79,74,5846
83,79,6557
98,28,2744
98,96,9408
20,95,1900
81,53,4293
10,38,380
40,45,1800
72,31,2232
20,35,700
80,14,1120
82,64,5248
3,22,66
63,19,1197
98,77,7546
73,42,3066
28,100,2800
48,15,720
70,39,2730
